Time,Station,Wharf
06:20,Circular Quay,CQEXTRA2
06:50,Cockatoo Island,CI1
07:29,Circular Quay,CQ2
06:50,Circular Quay,CQEXTRA2
07:20,Cockatoo Island,CI1
07:59,Circular Quay,CQ4
07:20,Circular Quay,CQEXTRA2
07:50,Cockatoo Island,CI1
08:29,Circular Quay,CQ2
07:50,Circular Quay,CQEXTRA2
08:20,Cockatoo Island,CI1
08:59,Circular Quay,CQ2
08:20,Circular Quay,CQEXTRA2
08:50,Cockatoo Island,CI1
09:29,Circular Quay,CQ4
08:50,Circular Quay,CQEXTRA2
09:20,Cockatoo Island,CI1
09:59,Circular Quay,CQ2
09:20,Circular Quay,CQEXTRA2
09:50,Cockatoo Island,CI1
10:29,Circular Quay,CQEXTRA2
09:50,Circular Quay,CQEXTRA2
10:20,Cockatoo Island,CI1
10:59,Circular Quay,CQEXTRA2
