Time,Station,Wharf
06:35,Circular Quay,CQ1
06:47,Taronga Zoo,TZ1
07:04,Circular Quay,CQ2
07:05,Circular Quay,CQ1
07:17,Taronga Zoo,TZ1
07:34,Circular Quay,CQ2
07:35,Circular Quay,CQ1
07:47,Taronga Zoo,TZ1
08:04,Circular Quay,CQ2
08:05,Circular Quay,CQ1
08:17,Taronga Zoo,TZ1
08:34,Circular Quay,CQ2
08:35,Circular Quay,CQ1
08:47,Taronga Zoo,TZ1
09:04,Circular Quay,CQ4
09:05,Circular Quay,CQ1
09:17,Taronga Zoo,TZ1
09:34,Circular Quay,CQ2
09:35,Circular Quay,CQ1
09:47,Taronga Zoo,TZ1
10:04,Circular Quay,CQ3
10:05,Circular Quay,CQ1
10:17,Taronga Zoo,TZ1
10:34,Circular Quay,CQ1
10:35,Circular Quay,CQ1
10:47,Taronga Zoo,TZ1
11:04,Circular Quay,CQ1
