Time,Station,Wharf
05:55,Circular Quay,CQ1
06:09,Neutral Bay,NB1
06:25,Circular Quay,CQ1
06:25,Circular Quay,CQ1
06:39,Neutral Bay,NB1
06:55,Circular Quay,CQ2
06:55,Circular Quay,CQ1
07:09,Neutral Bay,NB1
07:25,Circular Quay,CQ4
07:25,Circular Quay,CQ1
07:39,Neutral Bay,NB1
07:55,Circular Quay,CQ1
07:55,Circular Quay,CQ1
08:09,Neutral Bay,NB1
08:25,Circular Quay,CQ2
08:25,Circular Quay,CQ1
08:39,Neutral Bay,NB1
08:55,Circular Quay,CQ4
08:55,Circular Quay,CQ1
09:09,Neutral Bay,NB1
09:25,Circular Quay,CQ2
09:25,Circular Quay,CQ1
09:39,Neutral Bay,NB1
09:55,Circular Quay,CQ1
09:55,Circular Quay,CQ1
10:09,Neutral Bay,NB1
10:25,Circular Quay,CQ5
