Time,Station,Wharf
06:00,Circular Quay,CQ1
06:27,Pyrmont Bay,PB1
07:05,Circular Quay,CQ4
06:20,Circular Quay,CQ1
06:47,Pyrmont Bay,PB1
07:25,Circular Quay,CQ2
06:40,Circular Quay,CQ1
07:07,Pyrmont Bay,PB1
07:45,Circular Quay,CQ4
07:00,Circular Quay,CQ1
07:27,Pyrmont Bay,PB1
08:05,Circular Quay,CQ2
07:20,Circular Quay,CQ1
07:47,Pyrmont Bay,PB1
08:25,Circular Quay,CQ4
07:40,Circular Quay,CQ1
08:07,Pyrmont Bay,PB1
08:45,Circular Quay,CQ4
08:00,Circular Quay,CQ1
08:27,Pyrmont Bay,PB1
09:05,Circular Quay,CQ5
08:20,Circular Quay,CQ1
08:47,Pyrmont Bay,PB1
09:25,Circular Quay,CQ4
08:40,Circular Quay,CQ1
09:07,Pyrmont Bay,PB1
09:45,Circular Quay,CQ2
09:10,Circular Quay,CQ1
09:37,Pyrmont Bay,PB1
10:15,Circular Quay,CQ1
09:40,Circular Quay,CQ1
10:07,Pyrmont Bay,PB1
10:45,Circular Quay,CQ1
