Time,Station,Wharf
06:05,Circular Quay,CQ1
06:23,Double Bay,DB1
06:51,Circular Quay,CQ5
06:35,Circular Quay,CQ1
06:53,Double Bay,DB1
07:21,Circular Quay,CQ4
07:05,Circular Quay,CQ1
07:23,Double Bay,DB1
07:51,Circular Quay,CQ5
07:35,Circular Quay,CQ1
07:53,Double Bay,DB1
08:21,Circular Quay,CQ5
08:05,Circular Quay,CQ1
08:23,Double Bay,DB1
08:51,Circular Quay,CQ4
08:35,Circular Quay,CQ1
08:53,Double Bay,DB1
09:21,Circular Quay,CQ2
09:05,Circular Quay,CQ1
09:23,Double Bay,DB1
09:51,Circular Quay,CQ2
09:35,Circular Quay,CQ1
09:53,Double Bay,DB1
10:21,Circular Quay,CQ2
10:05,Circular Quay,CQ1
10:23,Double Bay,DB1
10:51,Circular Quay,CQ2
