Time,Station,Wharf
06:00,Circular Quay,CQ4
06:30,Cockatoo Island,CI1
07:09,Circular Quay,CQ3
06:30,Circular Quay,CQ4
07:00,Cockatoo Island,CI1
07:39,Circular Quay,CQ2
07:00,Circular Quay,CQ4
07:30,Cockatoo Island,CI1
08:09,Circular Quay,CQ1
07:30,Circular Quay,CQ4
08:00,Cockatoo Island,CI1
08:39,Circular Quay,CQ1
08:00,Circular Quay,CQ4
08:30,Cockatoo Island,CI1
09:09,Circular Quay,CQ4
08:30,Circular Quay,CQ4
09:00,Cockatoo Island,CI1
09:39,Circular Quay,CQ1
09:00,Circular Quay,CQ4
09:30,Cockatoo Island,CI1
10:09,Circular Quay,CQ2
09:30,Circular Quay,CQ4
10:00,Cockatoo Island,CI1
10:39,Circular Quay,CQ2
