Time,Station,Wharf
06:05,Circular Quay,CQ1
06:19,Neutral Bay,NB1
06:35,Circular Quay,CQ4
06:35,Circular Quay,CQ1
06:49,Neutral Bay,NB1
07:05,Circular Quay,CQ4
07:05,Circular Quay,CQ1
07:19,Neutral Bay,NB1
07:35,Circular Quay,CQ3
07:35,Circular Quay,CQ1
07:49,Neutral Bay,NB1
08:05,Circular Quay,CQ1
08:05,Circular Quay,CQ1
08:19,Neutral Bay,NB1
08:35,Circular Quay,CQ2
08:35,Circular Quay,CQ1
08:49,Neutral Bay,NB1
09:05,Circular Quay,CQ2
09:05,Circular Quay,CQ1
09:19,Neutral Bay,NB1
09:35,Circular Quay,CQ3
09:35,Circular Quay,CQ1
09:49,Neutral Bay,NB1
10:05,Circular Quay,CQ4
10:05,Circular Quay,CQ1
10:19,Neutral Bay,NB1
10:35,Circular Quay,CQ4
