Time,Station,Wharf
06:15,Circular Quay,CQEXTRA2
06:34,Double Bay,DB1
07:02,Circular Quay,CQ5
06:45,Circular Quay,CQEXTRA2
07:04,Double Bay,DB1
07:32,Circular Quay,CQ2
07:15,Circular Quay,CQEXTRA2
07:34,Double Bay,DB1
08:02,Circular Quay,CQEXTRA2
07:45,Circular Quay,CQEXTRA2
08:04,Double Bay,DB1
08:32,Circular Quay,CQ4
08:15,Circular Quay,CQEXTRA2
08:34,Double Bay,DB1
09:02,Circular Quay,CQ4
08:45,Circular Quay,CQEXTRA2
09:04,Double Bay,DB1
09:32,Circular Quay,CQEXTRA2
09:15,Circular Quay,CQEXTRA2
09:34,Double Bay,DB1
10:02,Circular Quay,CQ5
09:45,Circular Quay,CQEXTRA2
10:04,Double Bay,DB1
10:32,Circular Quay,CQ4
10:15,Circular Quay,CQEXTRA2
10:34,Double Bay,DB1
11:02,Circular Quay,CQEXTRA2
