Time,Station,Wharf
06:00,Circular Quay,CQ4
06:28,Pyrmont Bay,PB1
07:05,Circular Quay,CQ2
06:20,Circular Quay,CQ4
06:48,Pyrmont Bay,PB1
07:25,Circular Quay,CQ3
06:40,Circular Quay,CQ4
07:08,Pyrmont Bay,PB1
07:45,Circular Quay,CQ3
07:00,Circular Quay,CQ4
07:28,Pyrmont Bay,PB1
08:05,Circular Quay,CQ2
07:20,Circular Quay,CQ4
07:48,Pyrmont Bay,PB1
08:25,Circular Quay,CQ2
07:40,Circular Quay,CQ4
08:08,Pyrmont Bay,PB1
08:45,Circular Quay,CQ1
08:00,Circular Quay,CQ4
08:28,Pyrmont Bay,PB1
09:05,Circular Quay,CQ1
08:20,Circular Quay,CQ4
08:48,Pyrmont Bay,PB1
09:25,Circular Quay,CQ4
08:40,Circular Quay,CQ4
09:08,Pyrmont Bay,PB1
09:45,Circular Quay,CQ2
09:10,Circular Quay,CQ4
09:38,Pyrmont Bay,PB1
10:15,Circular Quay,CQ4
09:40,Circular Quay,CQ4
10:08,Pyrmont Bay,PB1
10:45,Circular Quay,CQ3
